timestamp,garage_id,gas,fan_state
2026-05-07T16:37:59.550960,G1,168,False
2026-05-07T16:38:04.594445,G1,170,False
2026-05-07T16:38:09.575272,G1,168,False
2026-05-07T16:38:14.601408,G1,168,False
2026-05-07T16:38:19.561092,G1,170,False
2026-05-07T16:38:24.610948,G1,168,False
2026-05-07T16:38:29.567475,G1,169,False
2026-05-07T16:38:34.620724,G1,168,False
2026-05-07T16:38:39.614031,G1,169,False
2026-05-07T16:38:44.633239,G1,167,False
2026-05-07T16:38:49.578223,G1,170,False
2026-05-07T16:38:54.646274,G1,169,False
2026-05-07T16:38:59.606014,G1,171,False
2026-05-07T16:39:04.650715,G1,168,False
2026-05-07T16:39:09.640905,G1,168,False
2026-05-07T16:39:14.664254,G1,169,False
2026-05-07T16:39:19.698918,G1,168,False
2026-05-07T16:39:24.679472,G1,167,False
2026-05-07T16:39:29.708770,G1,171,False
2026-05-07T16:39:34.680605,G1,170,False
2026-05-07T16:39:39.717972,G1,167,False
2026-05-07T16:39:44.691967,G1,168,False
2026-05-07T16:39:49.682520,G1,167,False
2026-05-07T16:39:54.700076,G1,168,False
2026-05-07T16:39:59.714950,G1,169,False
2026-05-07T16:40:04.720140,G1,167,False
2026-05-07T16:40:09.723982,G1,169,False
2026-05-07T16:40:14.737431,G1,167,False
2026-05-07T16:40:19.711115,G1,168,False
2026-05-07T16:40:24.731354,G1,168,False
2026-05-07T16:40:29.732993,G1,169,False
2026-05-07T16:40:34.727298,G1,166,False
2026-05-07T16:40:39.787288,G1,170,False
2026-05-07T16:40:44.732298,G1,166,False
2026-05-07T16:40:49.741213,G1,167,False
2026-05-07T16:40:54.759523,G1,171,False
2026-05-07T16:40:59.765881,G1,166,False
2026-05-07T16:47:20.078807,G1,168,False
2026-05-07T16:47:25.057241,G1,166,False
2026-05-07T16:47:30.093300,G1,163,False
2026-05-07T16:47:35.052052,G1,164,False
2026-05-07T16:47:40.117164,G1,164,False
2026-05-07T16:47:45.062705,G1,165,False
2026-05-07T16:47:50.103560,G1,166,False
2026-05-07T16:47:55.077239,G1,164,False
2026-05-07T16:48:00.112682,G1,164,False
2026-05-07T16:48:05.087375,G1,163,False
2026-05-07T16:48:10.119725,G1,165,False
2026-05-07T16:48:15.097260,G1,166,False
2026-05-07T16:48:20.130640,G1,166,False
2026-05-07T16:48:25.166007,G1,165,False
2026-05-07T16:48:30.138394,G1,163,False
2026-05-07T16:48:35.170003,G1,166,False
2026-05-07T16:48:40.145404,G1,166,False
2026-05-07T16:48:45.172349,G1,162,False
2026-05-07T16:48:50.177412,G1,163,False
2026-05-07T16:48:55.178692,G1,165,False
2026-05-07T16:49:00.172841,G1,163,False
2026-05-07T16:49:05.163568,G1,165,False
2026-05-07T16:49:10.181891,G1,164,False
2026-05-07T16:49:15.179193,G1,164,False
2026-05-07T16:49:20.190825,G1,163,False
2026-05-07T16:49:25.189403,G1,162,False
2026-05-07T16:49:30.190845,G1,165,False
2026-05-07T16:49:35.195390,G1,163,False
2026-05-07T16:49:40.233537,G1,164,False
2026-05-07T16:49:45.214904,G1,164,False
2026-05-07T16:49:50.242939,G1,162,False
2026-05-07T16:49:55.214008,G1,165,False
2026-05-07T16:50:00.254724,G1,163,False
2026-05-07T16:50:05.224111,G1,163,False
2026-05-07T16:50:10.261892,G1,163,False
2026-05-07T16:50:15.231044,G1,161,False
2026-05-07T16:50:20.200438,G1,165,False
2026-05-07T16:50:25.240236,G1,163,False
2026-05-07T16:50:30.209445,G1,163,False
2026-05-07T16:50:35.251622,G1,163,False
2026-05-07T16:50:40.224645,G1,164,False
2026-05-07T16:50:45.263540,G1,163,False
2026-05-07T16:50:50.235413,G1,164,False
2026-05-07T16:50:55.268076,G1,162,False
