OFFGAS SYSTEM LOGS
============================================================

[2026-05-07T16:41:04.773701] EVENT=BRIDGE_STOPPED | GARAGE=G1 | GAS=None | TOPIC=None | STATUS=INFO
[2026-05-07T16:41:23.378462] EVENT=BLUETOOTH_CONNECTED | GARAGE=G1 | GAS=None | TOPIC=None | STATUS=INFO
[2026-05-07T16:41:28.485120] EVENT=MQTT_CONNECT_FAILED | GARAGE=G1 | GAS=None | TOPIC=host.docker.internal | STATUS=ERROR
[2026-05-07T16:44:08.075793] EVENT=BLUETOOTH_CONNECTED | GARAGE=G1 | GAS=None | TOPIC=None | STATUS=INFO
[2026-05-07T16:44:13.129640] EVENT=MQTT_CONNECT_FAILED | GARAGE=G1 | GAS=None | TOPIC=host.docker.internal | STATUS=ERROR
[2026-05-07T16:44:38.166067] EVENT=BLUETOOTH_CONNECTED | GARAGE=G1 | GAS=None | TOPIC=None | STATUS=INFO
[2026-05-07T16:44:43.196228] EVENT=MQTT_CONNECT_FAILED | GARAGE=G1 | GAS=None | TOPIC=host.docker.internal | STATUS=ERROR
[2026-05-07T16:47:15.097317] EVENT=BLUETOOTH_CONNECTED | GARAGE=G1 | GAS=None | TOPIC=None | STATUS=INFO
[2026-05-07T16:47:15.134160] EVENT=MQTT_CONNECTED | GARAGE=G1 | GAS=None | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:47:20.082930] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=168 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:47:25.060171] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=166 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:47:30.103785] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:47:35.053493] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=164 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:47:40.119218] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=164 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:47:45.064246] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=165 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:47:50.104840] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=166 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:47:55.078546] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=164 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:48:00.114725] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=164 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:48:05.091626] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:48:10.122699] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=165 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:48:15.098590] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=166 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:48:20.133950] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=166 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:48:25.168275] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=165 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:48:30.141701] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:48:35.171061] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=166 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:48:40.146568] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=166 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:48:45.173939] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:48:50.178800] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:48:55.179871] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=165 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:49:00.176763] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:49:05.166911] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=165 | TOPIC=garages/G1/telemetry | STATUS=INFO
